Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR21916214_1	SRR21916214_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98339.0	23.9 Mbp	0.0	244-251	57.0	6.132866919533451	244.0001423646773	244	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRR21916214_2	SRR21916214_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98339.0	24.6 Mbp	0.0	244-251	55.0	11.386123511526455	250.9998576353227	251	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRR21916215_1	SRR21916215_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	91888.0	22.2 Mbp	0.0	242.0	57.0	5.995342155667769	242.0	242	pass	pass		pass	fail	fail	pass	pass	fail	fail	pass
SRR21916215_2	SRR21916215_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	91888.0	23 Mbp	0.0	251.0	55.0	11.536870973358871	251.0	251	pass	pass		pass	fail	fail	pass	pass	fail	warn	pass
SRR21916216_1	SRR21916216_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86811.0	21 Mbp	0.0	243.0	57.0	5.805715865500916	243.0	243	pass	pass		pass	fail	fail	pass	pass	fail	fail	pass
SRR21916216_2	SRR21916216_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86811.0	21.7 Mbp	0.0	251.0	55.0	11.61834329750838	251.0	251	pass	pass		pass	fail	fail	pass	pass	fail	warn	pass
SRR21916217_1	SRR21916217_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86178.0	21 Mbp	0.0	244.0	57.0	5.662698136415326	244.0	244	pass	pass		pass	fail	fail	pass	pass	fail	fail	pass
SRR21916217_2	SRR21916217_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86178.0	21.6 Mbp	0.0	251.0	55.0	11.820882359766994	251.0	251	pass	pass		pass	fail	fail	pass	pass	fail	warn	pass
SRR21916218_1	SRR21916218_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95815.0	23.3 Mbp	0.0	244-251	57.0	5.881125084798831	244.00014611490894	244	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRR21916218_2	SRR21916218_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95815.0	24 Mbp	0.0	244-251	55.0	11.28946407138757	250.99985388509106	251	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRR21916219_1	SRR21916219_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94450.0	22.7 Mbp	0.0	241.0	57.0	6.650079407093701	241.0	241	pass	pass		pass	fail	fail	pass	pass	fail	fail	pass
SRR21916219_2	SRR21916219_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94450.0	23.7 Mbp	0.0	251.0	55.0	11.68766543144521	251.0	251	pass	pass		pass	fail	fail	pass	pass	fail	warn	pass
